Time                        , Roll, Pitch, Yaw
[Jumat_03-10-2025_22-51-42], 0.0567232, -0.092677, 0.00331613
[Jumat_03-10-2025_22-51-42], 0.0523599, -0.17017, 0.00645772
[Jumat_03-10-2025_22-51-43], 0.116763, -0.18867, 6.27551
[Jumat_03-10-2025_22-51-43], 0.0436332, -0.10472, 0.0010472
[Jumat_03-10-2025_22-51-44], 0.145037, -0.218166, 6.22105
[Jumat_03-10-2025_22-51-44], -0.0120428, -0.172439, 0.00977384
[Jumat_03-10-2025_22-51-45], -0.0141372, -0.158127, 0.102625
[Jumat_03-10-2025_22-51-45], 0.0315905, -0.216072, 6.26364
[Jumat_03-10-2025_22-51-46], 0.0720821, -0.146259, 6.26573
[Jumat_03-10-2025_22-51-47], 0.108036, -0.264068, 6.15665
[Jumat_03-10-2025_22-51-47], 0.0905826, -0.17558, 6.21774
[Jumat_03-10-2025_22-51-48], 0.0315905, -0.243299, 6.25805
[Jumat_03-10-2025_22-51-48], 0.0654498, -0.284663, 6.2701
[Jumat_03-10-2025_22-51-49], 0.0774926, -0.150622, 6.22873
[Jumat_03-10-2025_22-51-49], 0.109083, -0.193033, 6.1392
[Jumat_03-10-2025_22-51-50], 0.098262, -0.24103, 6.13815
[Jumat_03-10-2025_22-51-50], 0.0567232, -0.154985, 6.1577
[Jumat_03-10-2025_22-51-51], -0.00645772, -0.212756, 0.0109956
[Jumat_03-10-2025_22-51-51], 0.0720821, -0.246615, 6.15997
[Jumat_03-10-2025_22-51-52], 0.103673, -0.163712, 6.16642
[Jumat_03-10-2025_22-51-52], 0.11781, -0.239983, 6.09661
[Jumat_03-10-2025_22-51-53], 0.0839503, -0.243299, 6.16764
[Jumat_03-10-2025_22-51-53], 0.0469494, -0.194255, 6.22751
[Jumat_03-10-2025_22-51-54], 0.0228638, -0.218166, 6.26905
[Jumat_03-10-2025_22-51-54], 0.105767, -0.21485, 6.21006
[Jumat_03-10-2025_22-51-55], 0.0808087, -0.156032, 6.16328
[Jumat_03-10-2025_22-51-55], 0.133169, -0.208392, 6.17637
[Jumat_03-10-2025_22-51-56], 0.0459022, -0.164759, 6.25596
[Jumat_03-10-2025_22-51-56], 0.0153589, -0.168075, 0.0415388
[Jumat_03-10-2025_22-51-57], 0.0949459, -0.245393, 6.22873
[Jumat_03-10-2025_22-51-57], 0.0610865, -0.184307, 6.25369
[Jumat_03-10-2025_22-51-58], 0.0600393, -0.187623, 6.25369
[Jumat_03-10-2025_22-51-58], 0.0546288, -0.185529, 6.25264
[Jumat_03-10-2025_22-51-59], 0.0546288, -0.18326, 6.25264
[Jumat_03-10-2025_22-51-59], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-00], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-00], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-01], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-01], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-02], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-02], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-03], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-03], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-04], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-04], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-05], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-06], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-06], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-07], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-07], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-08], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-08], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-09], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-09], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-10], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-10], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-11], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-11], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-12], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-12], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-13], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-13], 0.0546288, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-14], 0.055676, -0.182212, 6.25369
[Jumat_03-10-2025_22-52-14], 0.055676, -0.179943, 6.25369
[Jumat_03-10-2025_22-52-15], 0.055676, -0.177849, 6.25264
[Jumat_03-10-2025_22-52-15], 0.0577704, -0.184307, 6.25596
[Jumat_03-10-2025_22-52-16], -0.0284489, -0.111352, 0.307527
[Jumat_03-10-2025_22-52-16], -0.0305433, -0.275937, 0.675268
[Jumat_03-10-2025_22-52-17], 0.00645772, -0.237888, 1.04283
[Jumat_03-10-2025_22-52-17], -0.0382227, -0.348019, 0.703542
[Jumat_03-10-2025_22-52-18], -0.0469494, -0.279253, 0.359887
[Jumat_03-10-2025_22-52-18], -0.0272271, -0.316254, 0.0338594
[Jumat_03-10-2025_22-52-19], 0.042586, -0.247662, 0.0328122
[Jumat_03-10-2025_22-52-19], -0.0218166, -0.279253, 0.0359538
[Jumat_03-10-2025_22-52-20], 0.0633555, -0.245393, 0.0010472
[Jumat_03-10-2025_22-52-20], 0.0490438, -0.245393, 0.042586
[Jumat_03-10-2025_22-52-21], 0.0708604, -0.207345, 0.0195477
[Jumat_03-10-2025_22-52-21], 0.079587, -0.190939, 0.0174533
[Jumat_03-10-2025_22-52-22], 0.0839503, -0.190939, 0.0195477
[Jumat_03-10-2025_22-52-23], 0.0851721, -0.187623, 0.0207694
[Jumat_03-10-2025_22-52-23], 0.0895354, -0.191986, 0.0207694
