Time                        , Roll, Pitch, Yaw
[Jumat_03-10-2025_22-55-23], -0.0949459, -0.189892, 1.91986
[Jumat_03-10-2025_22-55-23], -0.116763, -0.190939, 1.79769
[Jumat_03-10-2025_22-55-24], -0.0708604, -0.200713, 1.81183
[Jumat_03-10-2025_22-55-24], -0.0185005, -0.187623, 1.62525
[Jumat_03-10-2025_22-55-25], -0.00872665, -0.197397, 1.54671
[Jumat_03-10-2025_22-55-25], -0.0741765, -0.213803, 1.50535
[Jumat_03-10-2025_22-55-26], -0.101404, -0.172439, 1.41808
[Jumat_03-10-2025_22-55-27], -0.102625, -0.179943, 1.39626
[Jumat_03-10-2025_22-55-27], -0.0469494, -0.178896, 1.32104
[Jumat_03-10-2025_22-55-28], 0.0371755, -0.178896, 1.19014
[Jumat_03-10-2025_22-55-28], -0.00645772, -0.150622, 1.0931
[Jumat_03-10-2025_22-55-29], -0.10472, -0.17017, 1.07879
[Jumat_03-10-2025_22-55-29], -0.0774926, -0.169122, 0.999201
[Jumat_03-10-2025_22-55-30], -0.0633555, -0.193033, 0.978432
[Jumat_03-10-2025_22-55-30], 0.0141372, -0.150622, 0.812625
[Jumat_03-10-2025_22-55-31], -0.0349066, -0.134216, 0.680678
[Jumat_03-10-2025_22-55-31], -0.0546288, -0.161443, 0.655546
[Jumat_03-10-2025_22-55-32], -0.066497, -0.1494, 0.503877
[Jumat_03-10-2025_22-55-32], -0.0577704, -0.131947, 0.397062
[Jumat_03-10-2025_22-55-33], -0.0153589, -0.142942, 0.275937
[Jumat_03-10-2025_22-55-33], 0.0207694, -0.146259, 0.213803
[Jumat_03-10-2025_22-55-34], 0.00872665, -0.092677, 0.0600393
[Jumat_03-10-2025_22-55-34], -0.0315905, -0.142942, 6.28214
[Jumat_03-10-2025_22-55-35], -0.0382227, -0.169122, 6.23746
[Jumat_03-10-2025_22-55-35], 0.01309, -0.131947, 6.06292
[Jumat_03-10-2025_22-55-36], 0.0349066, -0.142942, 5.93639
[Jumat_03-10-2025_22-55-36], 0.066497, -0.176802, 5.86658
[Jumat_03-10-2025_22-55-37], 0.0120428, -0.12322, 5.80217
[Jumat_03-10-2025_22-55-37], 0.0338594, -0.135263, 5.71159
[Jumat_03-10-2025_22-55-38], 0.00872665, -0.106989, 5.66359
[Jumat_03-10-2025_22-55-38], 0.0218166, -0.12322, 5.5786
[Jumat_03-10-2025_22-55-39], 0.100356, -0.105767, 5.46288
[Jumat_03-10-2025_22-55-39], 0.0862193, -0.121126, 5.33861
[Jumat_03-10-2025_22-55-40], 0.0818559, -0.120079, 5.30144
[Jumat_03-10-2025_22-55-41], 0.0403171, -0.127584, 5.1934
[Jumat_03-10-2025_22-55-41], 0.0294961, -0.137532, 5.25449
[Jumat_03-10-2025_22-55-42], 0.0577704, -0.129853, 5.09636
[Jumat_03-10-2025_22-55-42], 0.0872665, -0.165806, 5.00909
[Jumat_03-10-2025_22-55-43], 0.135263, -0.152716, 4.91101
[Jumat_03-10-2025_22-55-43], 0.0523599, -0.158127, 4.93597
[Jumat_03-10-2025_22-55-44], 0.0567232, -0.17558, 4.94155
[Jumat_03-10-2025_22-55-44], 0.0644026, -0.190939, 4.94365
[Jumat_03-10-2025_22-55-45], 0.0600393, -0.195302, 4.9426
[Jumat_03-10-2025_22-55-45], 0.0600393, -0.197397, 4.9426
[Jumat_03-10-2025_22-55-46], 0.0600393, -0.198618, 4.9426
[Jumat_03-10-2025_22-55-46], 0.0621337, -0.199666, 4.94365
[Jumat_03-10-2025_22-55-47], 0.0577704, -0.198618, 4.94365
[Jumat_03-10-2025_22-55-47], 0.0589921, -0.200713, 4.94591
[Jumat_03-10-2025_22-55-48], 0.0577704, -0.200713, 4.94469
[Jumat_03-10-2025_22-55-48], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-49], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-49], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-50], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-50], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-51], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-51], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-52], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-52], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-53], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-53], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-54], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-54], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-55], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-56], 0.0577704, -0.20176, 4.94469
[Jumat_03-10-2025_22-55-56], 0.0589921, -0.20176, 4.94591
[Jumat_03-10-2025_22-55-57], 0.0600393, -0.199666, 4.94591
[Jumat_03-10-2025_22-55-57], 0.0589921, -0.20176, 4.94591
[Jumat_03-10-2025_22-55-58], 0.0621337, -0.207345, 4.94696
[Jumat_03-10-2025_22-55-58], 0.0621337, -0.206123, 4.94033
[Jumat_03-10-2025_22-55-59], 0.023911, -0.255342, 4.91642
[Jumat_03-10-2025_22-55-59], 0.0883137, -0.261799, 4.99705
[Jumat_03-10-2025_22-56-00], 0.156032, -0.342434, 5.04836
[Jumat_03-10-2025_22-56-00], 0.0633555, -0.0010472, 4.79198
[Jumat_03-10-2025_22-56-01], 0.154985, -0.0534071, 4.42109
[Jumat_03-10-2025_22-56-01], 0.139626, -0.0415388, 4.42668
[Jumat_03-10-2025_22-56-02], 0.152716, -0.0502655, 4.19647
[Jumat_03-10-2025_22-56-02], 0.116763, -0.042586, 4.22597
[Jumat_03-10-2025_22-56-03], 0.13631, -0.068766, 4.22265
[Jumat_03-10-2025_22-56-03], 0.171217, -0.134216, 4.2401
[Jumat_03-10-2025_22-56-04], 0.0895354, -0.0720821, 4.22701
[Jumat_03-10-2025_22-56-04], 0.0774926, -0.079587, 4.21933
[Jumat_03-10-2025_22-56-05], 0.0600393, -0.0916298, 4.23033
[Jumat_03-10-2025_22-56-05], 0.0546288, -0.068766, 4.22911
[Jumat_03-10-2025_22-56-06], 0.0513127, -0.0446804, 4.23138
[Jumat_03-10-2025_22-56-06], 0.0479966, -0.0349066, 4.21061
[Jumat_03-10-2025_22-56-07], 0.0469494, -0.0359538, 4.21061
[Jumat_03-10-2025_22-56-07], 0.0479966, -0.0328122, 4.21061
[Jumat_03-10-2025_22-56-08], 0.0479966, -0.0328122, 4.21061
[Jumat_03-10-2025_22-56-08], 0.0469494, -0.0338594, 4.21061
[Jumat_03-10-2025_22-56-09], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-09], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-10], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-10], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-11], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-11], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-12], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-12], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-13], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-13], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-14], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-14], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-15], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-15], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-16], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-17], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-17], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-18], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-18], 0.0469494, -0.0315905, 4.21061
[Jumat_03-10-2025_22-56-19], 0.0469494, -0.0305433, 4.21061
[Jumat_03-10-2025_22-56-19], 0.0469494, -0.0305433, 4.21061
