Time                        , Roll, Pitch, Yaw
[Jumat_03-10-2025_22-53-14], 0.0600393, -0.195302, 4.959
[Jumat_03-10-2025_22-53-15], 0.098262, -0.17017, 4.79966
[Jumat_03-10-2025_22-53-15], 0.0764454, -0.185529, 4.85969
[Jumat_03-10-2025_22-53-16], 0.10472, -0.207345, 4.88483
[Jumat_03-10-2025_22-53-17], 0.0577704, -0.179943, 4.83247
[Jumat_03-10-2025_22-53-17], 0.0502655, -0.182212, 4.83125
[Jumat_03-10-2025_22-53-18], 0.0577704, -0.186576, 4.83125
[Jumat_03-10-2025_22-53-18], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-19], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-19], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-20], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-20], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-21], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-21], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-22], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-22], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-23], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-23], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-24], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-24], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-25], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-25], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-26], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-26], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-27], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-27], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-28], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-28], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-29], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-29], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-30], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-30], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-31], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-31], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-32], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-32], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-33], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-34], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-34], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-35], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-35], 0.0589921, -0.190939, 4.83247
[Jumat_03-10-2025_22-53-36], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-36], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-37], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-37], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-38], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-38], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-39], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-39], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-40], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-40], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-41], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-41], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-42], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-42], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-43], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-43], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-44], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-44], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-45], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-45], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-46], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-46], 0.0589921, -0.189892, 4.83247
[Jumat_03-10-2025_22-53-47], 0.0589921, -0.189892, 4.83247
