Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_03-10-2025_22-45-12], -0.255893, 0.255964, 0.697609
[Jumat_03-10-2025_22-45-12], 0.0613264, 0.22698, -0.109836
[Jumat_03-10-2025_22-45-13], -0.256989, -0.454072, 0.356197
[Jumat_03-10-2025_22-45-13], 0.036904, 0.178139, -0.0595561
[Jumat_03-10-2025_22-45-14], 0.0798972, 0.0970653, -0.0500643
[Jumat_03-10-2025_22-45-14], -0.074681, -0.059685, 0.2459
[Jumat_03-10-2025_22-45-15], -0.10551, -0.226427, 0.112443
[Jumat_03-10-2025_22-45-15], -0.071437, -0.0754183, 0.137296
[Jumat_03-10-2025_22-45-16], -0.00335997, 0.0881483, -0.307549
[Jumat_03-10-2025_22-45-16], 0.0651454, 0.0751547, 0.17819
[Jumat_03-10-2025_22-45-17], -0.0914646, -0.125021, -0.0821552
[Jumat_03-10-2025_22-45-17], -0.0346644, -0.0306066, -0.0736947
[Jumat_03-10-2025_22-45-18], -0.181642, 0.0561583, -0.0437189
[Jumat_03-10-2025_22-45-18], -0.0182142, 0.00351757, -0.0127241
[Jumat_03-10-2025_22-45-19], 0.0462277, -0.00680874, 0.0114595
[Jumat_03-10-2025_22-45-19], -0.0085419, 0.0154643, -0.00170281
[Jumat_03-10-2025_22-45-20], -4.19047e-06, 0.00654036, -1.30047e-06
[Jumat_03-10-2025_22-45-20], 0.0158362, 0.00714707, -0.00508373
[Jumat_03-10-2025_22-45-21], -0.00681347, 0.00133632, -0.00170023
[Jumat_03-10-2025_22-45-21], -1.52732e-08, 0.0185335, -1.44691e-10
[Jumat_03-10-2025_22-45-22], -0.00497266, 0.009031, -0.000208675
[Jumat_03-10-2025_22-45-22], -0.00637496, 0.0109358, -2.85998e-05
[Jumat_03-10-2025_22-45-23], -0.00587412, 0.00940056, -0.000220678
[Jumat_03-10-2025_22-45-23], -3.67672e-06, 0.0107942, -3.18567e-07
[Jumat_03-10-2025_22-45-24], -0.000252032, 0.00980086, -4.80372e-07
[Jumat_03-10-2025_22-45-24], -0.000102675, 0.0105052, -2.39857e-05
[Jumat_03-10-2025_22-45-25], -0.0021225, 0.0110216, -3.08238e-05
[Jumat_03-10-2025_22-45-25], -0.000406008, 0.0108902, -5.42329e-19
[Jumat_03-10-2025_22-45-26], -0.00173022, 0.0105634, -0.000136114
[Jumat_03-10-2025_22-45-26], -0.000268484, 0.0101931, -0.000367796
[Jumat_03-10-2025_22-45-27], -0.0017033, 0.00908574, -8.17821e-11
[Jumat_03-10-2025_22-45-27], -5.62317e-05, 0.0107364, -1.43892e-24
[Jumat_03-10-2025_22-45-28], -0.000418644, 0.0105156, -0.00102166
[Jumat_03-10-2025_22-45-28], -0.00208085, 0.00971594, -6.65793e-06
[Jumat_03-10-2025_22-45-29], -0.0001168, 0.0106053, -7.02859e-20
[Jumat_03-10-2025_22-45-29], -0.000356752, 0.0105255, -4.55904e-06
[Jumat_03-10-2025_22-45-30], -0.000132466, 0.0112976, -1.79967e-13
[Jumat_03-10-2025_22-45-30], -0.000217016, 0.00995531, -2.8822e-07
[Jumat_03-10-2025_22-45-31], -5.79566e-05, 0.00946676, -6.38385e-12
[Jumat_03-10-2025_22-45-31], -1.85411e-06, 0.0100063, -1.87201e-25
[Jumat_03-10-2025_22-45-32], -0.000433018, 0.0107437, -8.06833e-09
[Jumat_03-10-2025_22-45-32], -5.84385e-06, 0.0108387, -7.62662e-05
[Jumat_03-10-2025_22-45-33], -0.00121895, 0.0113275, -8.26009e-15
[Jumat_03-10-2025_22-45-33], -0.0116817, 0.0114991, 0.00215836
[Jumat_03-10-2025_22-45-34], -0.00272481, 0.0100146, -0.00098222
[Jumat_03-10-2025_22-45-34], -0.00268602, 0.0123228, -0.000912293
[Jumat_03-10-2025_22-45-35], -0.0034894, 0.0118475, -0.00238511
[Jumat_03-10-2025_22-45-35], -0.004922, 0.00986449, -9.42278e-05
[Jumat_03-10-2025_22-45-36], -0.00319236, 0.0110424, -2.552e-08
[Jumat_03-10-2025_22-45-36], -0.00466305, 0.0115206, -6.3204e-09
[Jumat_03-10-2025_22-45-37], -7.64814e-05, 0.0113972, -0.00102892
[Jumat_03-10-2025_22-45-37], -0.00126049, 0.0110954, -6.27688e-10
[Jumat_03-10-2025_22-45-38], -0.00150755, 0.00998385, -9.96098e-08
[Jumat_03-10-2025_22-45-38], -0.00118128, 0.0107831, -6.18241e-06
[Jumat_03-10-2025_22-45-39], -0.000176935, 0.0105568, -1.36266e-05
[Jumat_03-10-2025_22-45-39], -0.000105889, 0.00972524, -1.02746e-15
[Jumat_03-10-2025_22-45-40], -0.00149218, 0.010651, -6.3718e-14
[Jumat_03-10-2025_22-45-40], -0.00734531, 0.00869375, -0.00306681
[Jumat_03-10-2025_22-45-41], -0.00392597, 0.0103209, -1.72739e-08
[Jumat_03-10-2025_22-45-41], -0.00124918, 0.0108419, -4.64736e-09
[Jumat_03-10-2025_22-45-42], -0.00200274, 0.0104839, -4.90608e-23
[Jumat_03-10-2025_22-45-42], -4.76668e-05, 0.0109308, -1.387e-16
[Jumat_03-10-2025_22-45-43], -2.67285e-08, 0.0106482, -8.00612e-07
[Jumat_03-10-2025_22-45-43], -0.000233124, 0.0101834, -0.000619171
[Jumat_03-10-2025_22-45-44], -0.00146563, 0.0106949, -3.01278e-11
[Jumat_03-10-2025_22-45-44], -2.79588e-05, 0.0108459, -2.85998e-05
[Jumat_03-10-2025_22-45-45], -0.00140126, 0.0110431, -6.18047e-06
[Jumat_03-10-2025_22-45-45], -0.00274137, 0.0106743, -0.00113404
[Jumat_03-10-2025_22-45-46], -0.00436748, 0.0103346, -0.00333742
[Jumat_03-10-2025_22-45-46], -0.00277275, 0.00954722, -0.000364563
[Jumat_03-10-2025_22-45-47], -0.00272468, 0.00859594, -5.8279e-08
[Jumat_03-10-2025_22-45-48], -3.49455e-07, 0.0098348, -5.29197e-09
[Jumat_03-10-2025_22-45-48], -9.4877e-07, 0.0107526, -4.12386e-07
[Jumat_03-10-2025_22-45-49], -0.00268596, 0.00948004, -1.20473e-06
[Jumat_03-10-2025_22-45-49], -0.00384183, 0.0109323, -0.000635358
[Jumat_03-10-2025_22-45-50], -0.000695929, 0.0100939, -0.00254664
[Jumat_03-10-2025_22-45-50], -0.000513172, 0.0106218, -0.00685962
[Jumat_03-10-2025_22-45-51], -0.000293938, 0.0201423, -0.00511603
[Jumat_03-10-2025_22-45-51], -8.92455e-07, 0.000563221, -0.00564775
[Jumat_03-10-2025_22-45-52], -0.0147346, 0.0126596, -0.00323818
