Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_03-10-2025_22-48-25], -0.00972801, 0.0353463, -0.0151726
[Jumat_03-10-2025_22-48-26], -0.496995, 0.157915, 0.13143
[Jumat_03-10-2025_22-48-26], -0.444167, 0.0775254, 0.810306
[Jumat_03-10-2025_22-48-27], 0.773179, -0.0192864, 0.0821828
[Jumat_03-10-2025_22-48-27], -0.19119, 0.380386, 0.367688
[Jumat_03-10-2025_22-48-28], -0.455765, 0.329865, 0.533972
[Jumat_03-10-2025_22-48-28], 0.320979, -0.039079, -0.05817
[Jumat_03-10-2025_22-48-29], -0.853983, -0.220395, 1.10533
[Jumat_03-10-2025_22-48-29], 1.04336, 0.0958747, -0.402365
[Jumat_03-10-2025_22-48-30], -0.55325, 0.514547, 0.331472
[Jumat_03-10-2025_22-48-30], -0.597997, 0.233606, 0.306028
[Jumat_03-10-2025_22-48-31], 0.255182, -0.0377573, 0.0456108
[Jumat_03-10-2025_22-48-31], -0.793773, -0.0981915, 1.07843
[Jumat_03-10-2025_22-48-32], 0.996586, 0.147303, -0.745742
[Jumat_03-10-2025_22-48-32], -0.327692, 0.410594, 0.63864
[Jumat_03-10-2025_22-48-33], -0.171385, -0.171343, 0.0984852
[Jumat_03-10-2025_22-48-33], -0.158669, 0.083191, -0.227421
[Jumat_03-10-2025_22-48-34], -0.603096, 0.104705, 1.02022
[Jumat_03-10-2025_22-48-34], 0.89959, 0.236768, -0.661502
[Jumat_03-10-2025_22-48-35], -0.125283, 0.0926484, 0.685189
[Jumat_03-10-2025_22-48-35], -0.204213, -0.635966, -0.100312
[Jumat_03-10-2025_22-48-36], -0.153941, -0.0650076, -0.201169
[Jumat_03-10-2025_22-48-36], -0.383922, -0.300789, 0.898493
[Jumat_03-10-2025_22-48-37], 0.404226, -0.0464098, -0.324024
[Jumat_03-10-2025_22-48-37], 0.774499, -0.241642, 0.462931
[Jumat_03-10-2025_22-48-38], -0.150373, 0.0547683, -0.450545
[Jumat_03-10-2025_22-48-38], -0.482626, 0.107535, 0.487613
[Jumat_03-10-2025_22-48-39], -0.154442, -0.1897, 0.592896
[Jumat_03-10-2025_22-48-40], 0.250704, -0.155441, -0.00291232
[Jumat_03-10-2025_22-48-40], 0.717098, -0.208751, 0.417419
[Jumat_03-10-2025_22-48-41], -0.243872, -0.253186, -0.304748
[Jumat_03-10-2025_22-48-41], -0.395496, -0.0069809, 0.257075
[Jumat_03-10-2025_22-48-42], -0.324325, -0.254797, 1.02322
[Jumat_03-10-2025_22-48-42], 0.932415, 0.211821, -0.405029
[Jumat_03-10-2025_22-48-43], -0.162574, 0.2444, 0.699318
[Jumat_03-10-2025_22-48-43], -0.305958, -0.389166, -0.127663
[Jumat_03-10-2025_22-48-44], -0.197477, -0.170233, -0.0598436
[Jumat_03-10-2025_22-48-44], -0.366753, -0.150388, 1.13638
[Jumat_03-10-2025_22-48-45], 0.776354, 0.149101, -0.443515
[Jumat_03-10-2025_22-48-45], 0.215526, -0.155019, 0.573742
[Jumat_03-10-2025_22-48-46], -0.502213, -0.271582, 0.0410815
[Jumat_03-10-2025_22-48-46], -0.325354, -0.117712, 0.102243
[Jumat_03-10-2025_22-48-47], -0.366614, -0.264683, 0.912464
[Jumat_03-10-2025_22-48-47], 0.843337, 0.12213, -0.456311
[Jumat_03-10-2025_22-48-48], 0.425464, -0.0804484, 0.599959
[Jumat_03-10-2025_22-48-48], -0.323119, -0.372084, -0.418864
[Jumat_03-10-2025_22-48-49], -0.364026, 0.0926952, 0.336976
[Jumat_03-10-2025_22-48-49], -0.405442, 0.126504, 1.09099
[Jumat_03-10-2025_22-48-50], 0.655649, 0.0852421, -0.306257
