Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_03-10-2025_22-46-42], -0.000358574, 0.0566828, 0.0102508
[Jumat_03-10-2025_22-46-42], -0.463514, 0.0220977, -0.193611
[Jumat_03-10-2025_22-46-43], -0.467976, -0.976006, 0.136147
[Jumat_03-10-2025_22-46-43], 0.914216, 1.17499, 0.45428
[Jumat_03-10-2025_22-46-44], 0.257842, 0.0646141, -0.084458
[Jumat_03-10-2025_22-46-44], 0.0988739, -0.724294, 0.301648
[Jumat_03-10-2025_22-46-45], -0.437559, 0.695932, 0.239733
[Jumat_03-10-2025_22-46-45], -0.544153, -1.09568, 0.154971
[Jumat_03-10-2025_22-46-46], 0.647859, 0.735831, -0.579646
[Jumat_03-10-2025_22-46-46], 0.537494, -0.322715, -0.753815
[Jumat_03-10-2025_22-46-47], -0.250994, 0.336316, 0.456256
[Jumat_03-10-2025_22-46-47], -0.523554, 0.746443, 0.226309
[Jumat_03-10-2025_22-46-48], -0.461762, -1.21665, 0.6139
[Jumat_03-10-2025_22-46-48], 0.505665, 0.884134, -0.261588
[Jumat_03-10-2025_22-46-49], 0.285726, 0.375168, -0.108746
[Jumat_03-10-2025_22-46-49], -0.115105, -0.467381, 0.758291
[Jumat_03-10-2025_22-46-50], -0.388863, 1.03975, 0.273265
[Jumat_03-10-2025_22-46-50], -0.510107, -1.11276, 0.0862084
[Jumat_03-10-2025_22-46-51], 0.717118, 0.984139, 0.0158869
[Jumat_03-10-2025_22-46-51], 0.448158, 0.00669619, -0.119144
[Jumat_03-10-2025_22-46-52], -0.25472, 0.399801, 0.712542
[Jumat_03-10-2025_22-46-52], -0.392223, 1.10063, 0.0216946
[Jumat_03-10-2025_22-46-53], -0.853461, -1.09067, 0.38371
[Jumat_03-10-2025_22-46-53], 0.999809, 0.84188, -0.0595883
[Jumat_03-10-2025_22-46-54], 0.625334, -0.423463, -0.725299
[Jumat_03-10-2025_22-46-54], -0.233567, 0.382761, 0.612428
[Jumat_03-10-2025_22-46-55], -0.201921, 0.636156, 0.221586
[Jumat_03-10-2025_22-46-55], -0.710546, -1.23326, 0.103914
[Jumat_03-10-2025_22-46-56], 0.389267, 0.963591, -0.162661
[Jumat_03-10-2025_22-46-56], 0.680311, -0.436098, -0.867607
[Jumat_03-10-2025_22-46-57], -0.451363, 0.534113, 0.574641
[Jumat_03-10-2025_22-46-57], -0.201016, 1.10613, 0.278358
[Jumat_03-10-2025_22-46-58], 0.116885, -0.642734, -0.556865
[Jumat_03-10-2025_22-46-58], 1.16804, 0.875843, -0.0765541
[Jumat_03-10-2025_22-46-59], 0.598169, -0.34892, -0.582155
[Jumat_03-10-2025_22-46-59], 0.0605081, -0.416184, 0.485762
[Jumat_03-10-2025_22-47-00], -0.45848, 1.01593, 0.256947
[Jumat_03-10-2025_22-47-00], -0.707534, -1.12925, 0.337873
[Jumat_03-10-2025_22-47-01], 0.42871, 0.96744, -0.0733243
[Jumat_03-10-2025_22-47-01], 0.193385, -0.407225, -0.927939
[Jumat_03-10-2025_22-47-02], -0.546197, 0.482952, 0.406417
[Jumat_03-10-2025_22-47-02], -0.544615, 0.0204535, 0.365472
[Jumat_03-10-2025_22-47-03], -0.731238, -1.17594, 0.385409
[Jumat_03-10-2025_22-47-03], 0.934621, 0.783626, -0.094914
[Jumat_03-10-2025_22-47-04], 0.385083, -0.059009, -0.0851716
[Jumat_03-10-2025_22-47-04], -0.364845, 0.25447, 0.550062
[Jumat_03-10-2025_22-47-05], -0.395268, 0.319103, 0.26927
[Jumat_03-10-2025_22-47-05], -0.140103, -0.918318, -0.457504
[Jumat_03-10-2025_22-47-06], 1.06844, 0.780797, -0.209632
[Jumat_03-10-2025_22-47-06], 0.547684, -0.120767, -0.349376
[Jumat_03-10-2025_22-47-07], -0.0649703, -0.283021, 0.733066
[Jumat_03-10-2025_22-47-07], -0.499287, 0.0807973, 0.304006
[Jumat_03-10-2025_22-47-08], -0.702285, -0.813454, 0.585705
[Jumat_03-10-2025_22-47-08], 0.34773, 0.292586, -0.76033
[Jumat_03-10-2025_22-47-09], 0.473303, -0.0210601, -0.261746
[Jumat_03-10-2025_22-47-09], -0.0441251, -0.528107, 0.706876
[Jumat_03-10-2025_22-47-10], -0.802155, 0.623603, 0.162592
[Jumat_03-10-2025_22-47-10], -0.680183, -1.04347, 0.669158
[Jumat_03-10-2025_22-47-11], 0.610283, 0.484106, -0.525359
[Jumat_03-10-2025_22-47-11], 0.224638, 0.428127, -0.00412354
[Jumat_03-10-2025_22-47-12], 0.325263, -1.02464, -0.0222014
[Jumat_03-10-2025_22-47-12], -0.564198, 1.15987, 0.0438425
[Jumat_03-10-2025_22-47-13], -0.443791, -1.23198, 0.234857
[Jumat_03-10-2025_22-47-13], -0.23503, -0.0235072, -0.532678
