Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Kamis_16-10-2025_02-42-35], -0.0195342, 0.0848649, -0.00789054
[Kamis_16-10-2025_02-42-35], 0.483566, 0.0657834, -0.576936
[Kamis_16-10-2025_02-42-36], 0.32989, 0.0372361, -0.348683
[Kamis_16-10-2025_02-42-36], -0.532411, 0.230774, 1.25317
[Kamis_16-10-2025_02-42-37], -0.34751, 0.247782, 0.397174
[Kamis_16-10-2025_02-42-37], 0.254271, -0.947284, -0.691666
[Kamis_16-10-2025_02-42-38], 0.354687, -0.0145904, -1.2195
[Kamis_16-10-2025_02-42-38], 0.205579, 0.0928362, -0.331009
[Kamis_16-10-2025_02-42-39], -0.445899, 0.458727, 1.39206
[Kamis_16-10-2025_02-42-40], -0.320815, 0.342472, 0.459834
[Kamis_16-10-2025_02-42-40], 0.114581, -0.423155, -0.951983
[Kamis_16-10-2025_02-42-41], 0.302783, -0.225449, -0.2963
[Kamis_16-10-2025_02-42-41], 0.31623, 0.101237, -0.0860015
[Kamis_16-10-2025_02-42-42], -0.586691, 0.215407, 0.601388
[Kamis_16-10-2025_02-42-42], -0.184404, 0.0680602, -0.0344216
[Kamis_16-10-2025_02-42-47], 0.068382, 0.0778236, -0.142796
[Kamis_16-10-2025_02-42-48], 0.27919, -0.627574, -0.390355
[Kamis_16-10-2025_02-42-49], -0.171455, 0.204908, 0.120569
[Kamis_16-10-2025_02-42-49], -0.0115737, -0.107093, -0.763347
[Kamis_16-10-2025_02-42-50], 0.534299, 0.157373, -0.933656
[Kamis_16-10-2025_02-42-50], 0.247078, 0.0132119, -0.764739
[Kamis_16-10-2025_02-42-51], -0.581954, 0.148197, 1.11734
[Kamis_16-10-2025_02-42-51], -0.328724, 0.0105764, 0.713006
[Kamis_16-10-2025_02-42-52], 0.00574834, -0.373834, -0.30694
[Kamis_16-10-2025_02-42-52], 0.46658, 0.142298, -0.994457
[Kamis_16-10-2025_02-42-53], 0.47278, -0.123706, -0.872509
[Kamis_16-10-2025_02-42-53], -0.455681, 0.0644946, 1.41084
[Kamis_16-10-2025_02-42-54], -0.60017, -0.115863, 0.935424
[Kamis_16-10-2025_02-42-54], -0.119151, -0.280124, -0.431463
[Kamis_16-10-2025_02-42-55], 0.402935, 0.120785, -1.39929
[Kamis_16-10-2025_02-42-55], 0.410483, -0.0915145, -0.312152
[Kamis_16-10-2025_02-42-56], -0.148592, -0.259746, 0.485353
[Kamis_16-10-2025_02-42-57], -0.455654, 0.192351, 0.857591
[Kamis_16-10-2025_02-42-57], -0.339573, 0.145996, 0.768131
