raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
0.00247575, 0.0326329, -0.0100727
0.884103, 0.300308, -0.212728
0.513675, -0.326898, -0.289158
-0.623466, 0.562857, 0.408945
-0.452588, 0.131545, 0.353675
-0.0891322, -0.90743, -0.136477
0.343037, 0.736252, -0.415306
0.854515, -0.537828, -0.886306
-0.748371, 0.601428, 0.066815
-0.309267, 0.250883, 0.302198
-0.0466958, -0.792051, -0.364973
0.814887, 0.684161, -0.160502
0.80692, -0.552316, -0.863238
-0.450413, 0.397802, 0.46195
-0.231616, 0.196817, 0.301722
-0.14609, -0.81522, -0.143564
0.344043, 0.967587, -0.212093
0.623806, -0.836064, -0.936865
-0.705323, 0.664083, 0.408065
-0.337532, 0.162631, 0.352828
-0.0446868, -0.73663, -0.42933
0.397022, 0.951707, -0.157512
0.628085, -1.1048, -0.957102
-0.404018, 0.543599, 0.503854
-0.37757, 0.302474, 0.30874
-0.23683, -0.979968, -0.0130447
0.836714, 0.728145, -0.313401
0.581751, -0.523827, -0.776011
-0.437435, 0.410123, 0.455075
-0.457356, 0.380455, 0.327885
-0.552062, -1.06596, 0.0519532
0.925046, 0.842462, -0.166824
0.49849, -0.444697, -0.626129
-0.646933, 0.589321, 0.516174
-0.48313, 0.0714845, 0.284476
0.147479, -0.659335, -0.579344
0.359917, 0.896345, -0.0910774
0.726008, -0.830217, -0.955203
-1.02361, 0.576715, 0.218041
-0.52361, -0.0413664, 0.311601
0.186822, -0.566708, -0.330948
0.207918, 1.0055, -0.148173
0.675821, -1.04692, -0.963043
-0.796159, 0.695193, 0.193055
-0.534701, -0.341912, 0.653547
0.426748, -0.137383, -0.676504
0.0211624, 0.943648, -0.241262
0.727975, -1.05178, -0.90031
-0.59911, 0.601151, 0.317832
-0.365009, 0.163615, 0.292648
0.0704251, -0.753098, -0.389189
0.0852375, 1.0294, -0.386208
0.736241, -1.23544, -0.720827
-0.776858, 0.0490246, -0.0141707
0.238109, 0.0206685, 0.0546585
0.0755148, 0.0266553, -0.00445209
0.00410553, -0.00635315, 0.000787965
-2.69878e-05, 0.0175271, -2.50296e-05
-0.00204325, 0.0034156, -0.000441763
-2.09017e-08, 0.0132445, -0.0013529
-2.03368e-07, 0.00984405, -3.41719e-09
-3.67016e-14, 0.00836883, -2.85998e-05
-3.87448e-28, 0.0117297, -3.0192e-19
-6.81697e-42, 0.010264, -5.31214e-33
-2.59073e-56, 0.0103926, -2.01884e-47
-1.64098e-70, 0.00983908, -1.27874e-61
-2.88722e-84, 0.0106521, -2.24988e-75
-1.09726e-98, 0.00962509, -8.55047e-90
-6.9501e-113, 0.00956672, -5.41589e-104
-1.22284e-126, 0.0100854, -9.529e-118
-1.29091e-140, 0.010278, -1.00595e-131
-2.2713e-154, 0.00941322, -1.76992e-145
-1.43865e-168, 0.00909393, -1.12107e-159
-9.11245e-183, 0.00988576, -7.10091e-174
-9.61975e-197, 0.00935514, -2.9046e-09
-1.69255e-210, 0.00882928, -5.1105e-23
-1.07207e-224, 0.0100023, -3.23701e-37
-3.14375e-238, 0.00995098, -9.49226e-51
-1.19476e-252, 0.00973082, -1.03759e-07
-1.26127e-266, 0.00898212, -3.55943e-11
-1.33149e-280, 0.00855886, -6.32268e-12
-2.25862e-10, 0.0094755, -6.67467e-26
-3.97393e-24, 0.00937158, 9.70403e-05
-2.5171e-38, 0.00901045, -3.55828e-06
-1.17891e-06, 0.0115107, -0.00210153
-0.00711222, 0.0148757, -0.00184306
6.8085e-05, 0.00556278, 8.84526e-05
-0.000591154, 0.0168974, -0.00384281
-0.00622761, 0.00635139, -0.00276674
0.000123144, 0.00221567, -1.0892e-07
0.168868, 0.308384, -0.072305
0.237892, 0.178216, -0.406905
0.0217903, 0.428492, -0.173262
0.222625, -0.145066, -0.0620684
-0.472425, 0.333717, -0.309091
0.168712, -0.409726, -0.0856746
-0.132222, 0.355072, -0.0153657
0.241197, 0.00929394, 0.373217
0.140186, 0.128986, -0.224784
0.0842533, -0.110562, 0.555961
0.0561384, 0.0243414, -0.436444
0.168853, 0.142057, 0.296751
-0.0143342, -0.0527947, 0.16183
-0.00943087, -0.101302, 0.197518
-0.163803, 0.0460731, 0.116149
0.233408, -0.0412149, -0.355196
-0.128845, -0.0249066, 0.0878233
0.0226833, 0.055047, 0.226703
-0.0289266, -0.0939, 0.408413
-0.0994199, -0.180726, -0.290034
-0.179508, -0.0523093, 0.189695
0.019351, 0.10022, -0.0040207
-0.00665785, 0.0150909, -0.00530145
