Time                        , raw_gyro_x_, raw_gyro_y_, raw_gyro_z_
[Jumat_17-10-2025_00-24-56], -0.0165915, 0.047478, -0.0122038
[Jumat_17-10-2025_00-24-56], 1.00263, 0.128983, -0.156783
[Jumat_17-10-2025_00-24-57], 0.69438, -0.22932, -0.553658
[Jumat_17-10-2025_00-24-57], -0.803399, 0.193781, 0.370325
[Jumat_17-10-2025_00-24-58], -0.221021, 0.0300259, -0.147323
[Jumat_17-10-2025_00-24-58], 0.231814, -0.107784, -0.257438
[Jumat_17-10-2025_00-24-59], 0.0766761, 0.251014, 0.129478
[Jumat_17-10-2025_00-24-59], 0.602002, -0.510406, -0.779147
[Jumat_17-10-2025_00-25-00], -0.905578, 0.0940964, 0.432878
[Jumat_17-10-2025_00-25-00], -0.254375, 0.0999336, 0.125715
[Jumat_17-10-2025_00-25-01], 0.34738, 0.0648509, -0.456712
[Jumat_17-10-2025_00-25-01], -0.196119, 0.640483, 0.335924
[Jumat_17-10-2025_00-25-02], 0.338117, -0.695689, -0.670484
[Jumat_17-10-2025_00-25-02], -0.908758, -0.0678256, 0.358855
[Jumat_17-10-2025_00-25-03], -0.285553, 0.174783, 0.17361
[Jumat_17-10-2025_00-25-03], 0.572772, 0.145708, -0.654252
[Jumat_17-10-2025_00-25-04], -0.260298, 0.699108, 0.441448
[Jumat_17-10-2025_00-25-04], 0.311239, -0.74244, -0.477472
[Jumat_17-10-2025_00-25-05], -0.917215, -0.0611657, 0.421731
[Jumat_17-10-2025_00-25-05], -0.244036, 0.196422, 0.0773081
[Jumat_17-10-2025_00-25-06], 0.40724, 0.271483, -0.198653
[Jumat_17-10-2025_00-25-17], 0.000219884, 0.0134952, -0.0110792
[Jumat_17-10-2025_00-25-18], 0.00123892, 0.0484168, -0.0066614
[Jumat_17-10-2025_00-25-19], -0.731962, 0.416129, -0.122458
[Jumat_17-10-2025_00-25-19], -0.671367, -1.03749, 0.398744
[Jumat_17-10-2025_00-25-20], 0.216424, 1.08002, -0.00164086
[Jumat_17-10-2025_00-25-20], 0.742366, -0.705443, -1.00109
[Jumat_17-10-2025_00-25-21], -0.515059, 0.405546, 0.685923
[Jumat_17-10-2025_00-25-21], -0.443381, 0.481197, 0.227147
[Jumat_17-10-2025_00-25-22], -0.153621, -0.888631, -0.21313
[Jumat_17-10-2025_00-25-22], 0.146654, 1.04871, 0.0868516
[Jumat_17-10-2025_00-25-23], 0.729478, -1.12671, -1.07705
[Jumat_17-10-2025_00-25-23], -0.759516, 0.675381, 0.540765
[Jumat_17-10-2025_00-25-24], -0.596465, -0.000150811, 0.302319
[Jumat_17-10-2025_00-25-24], 0.308469, -0.631129, -0.425879
[Jumat_17-10-2025_00-25-25], -0.0625087, 0.931903, 0.128778
[Jumat_17-10-2025_00-25-25], 0.787874, -1.30069, -0.923653
[Jumat_17-10-2025_00-25-26], -0.641496, 0.627231, 0.522952
[Jumat_17-10-2025_00-25-26], -0.510826, 0.0271714, 0.397891
[Jumat_17-10-2025_00-25-27], 0.261555, -0.610407, -0.54746
[Jumat_17-10-2025_00-25-27], 0.0549021, 0.951353, -0.178173
[Jumat_17-10-2025_00-25-28], 0.826054, -1.7124, -0.629921
[Jumat_17-10-2025_00-25-28], -0.905138, 0.736154, 0.434111
