Time                        , Roll, Pitch, Yaw
[Kamis_16-10-2025_02-30-10], 0.0261799, -0.125489, 6.28214
[Kamis_16-10-2025_02-30-10], 0.066497, -0.116763, 6.25055
[Kamis_16-10-2025_02-30-11], 0.0829031, -0.0959931, 6.2036
[Kamis_16-10-2025_02-30-11], 0.023911, -0.01309, 6.26468
[Kamis_16-10-2025_02-30-12], -0.023911, -0.0993092, 0.245393
[Kamis_16-10-2025_02-30-12], 0.00645772, -0.139626, 0.197397
[Kamis_16-10-2025_02-30-13], 0.00872665, -0.173486, 6.1926
[Kamis_16-10-2025_02-30-13], 0.079587, -0.224798, 6.16433
[Kamis_16-10-2025_02-30-14], 0.066497, -0.19635, 0.133169
[Kamis_16-10-2025_02-30-14], 0.0164061, -0.186576, 0.273842
[Kamis_16-10-2025_02-30-15], -0.00767945, -0.14399, 6.26678
[Kamis_16-10-2025_02-30-15], 0.0294961, -0.0708604, 0.0479966
[Kamis_16-10-2025_02-30-16], 0.0338594, -0.152716, 0.0436332
[Kamis_16-10-2025_02-30-16], -0.0164061, -0.0720821, 0.121126
[Kamis_16-10-2025_02-30-17], -0.0600393, -0.0621337, 0.125489
[Kamis_16-10-2025_02-30-17], -0.0708604, -0.112399, 0.109083
[Kamis_16-10-2025_02-30-18], 0.0446804, -0.17558, 6.17201
[Kamis_16-10-2025_02-30-18], 0.0513127, -0.186576, 5.86221
[Kamis_16-10-2025_02-30-19], -0.0392699, -0.079587, 6.00062
[Kamis_16-10-2025_02-30-19], -0.0752237, -0.152716, 6.10865
[Kamis_16-10-2025_02-30-20], -0.0109956, -0.098262, 6.08038
[Kamis_16-10-2025_02-30-20], -0.0305433, -0.0272271, 6.07706
[Kamis_16-10-2025_02-30-21], 0.042586, -0.127584, 6.01598
[Kamis_16-10-2025_02-30-21], 0.0338594, 0.0698132, 0.068766
[Kamis_16-10-2025_02-30-22], 0.0577704, -0.246615, 0.260752
[Kamis_16-10-2025_02-30-22], -0.0228638, -0.224798, 0.0895354
[Kamis_16-10-2025_02-30-23], 0.0774926, -0.146259, 0.114494
[Kamis_16-10-2025_02-30-23], 0.0513127, -0.176802, 5.9418
[Kamis_16-10-2025_02-30-24], 0.0294961, -0.163712, 5.90794
[Kamis_16-10-2025_02-30-24], 0.00209439, -0.204029, 5.91894
[Kamis_16-10-2025_02-30-25], 0.0633555, -0.0959931, 5.90253
[Kamis_16-10-2025_02-30-25], 0.0459022, 0, 6.01161
[Kamis_16-10-2025_02-30-26], 0.042586, -0.0513127, 6.04547
[Kamis_16-10-2025_02-30-26], 0, -0.00541052, 6.14583
[Kamis_16-10-2025_02-30-27], -0.0490438, -0.00209439, 6.1577
[Kamis_16-10-2025_02-30-27], -0.00767945, 0.00541052, 6.04111
[Kamis_16-10-2025_02-30-28], 0.0502655, -0.0251327, 5.95698
[Kamis_16-10-2025_02-30-28], 0.0610865, -0.0577704, 6.00393
[Kamis_16-10-2025_02-30-29], 0.0164061, -0.0392699, 6.15892
[Kamis_16-10-2025_02-30-29], -0.00331613, -0.0185005, 6.20028
[Kamis_16-10-2025_02-30-30], 0.00872665, -0.0207694, 6.00289
[Kamis_16-10-2025_02-30-30], 0.0546288, -0.0479966, 5.91126
[Kamis_16-10-2025_02-30-31], 0.0731293, -0.0851721, 5.84581
[Kamis_16-10-2025_02-30-31], 0.0338594, -0.0731293, 5.95594
[Kamis_16-10-2025_02-30-32], 0.00209439, -0.0610865, 6.06397
[Kamis_16-10-2025_02-30-32], 0.00541052, -0.0479966, 5.93639
[Kamis_16-10-2025_02-30-33], 0.0490438, -0.0621337, 5.81858
[Kamis_16-10-2025_02-30-33], 0.066497, -0.114494, 5.73445
[Kamis_16-10-2025_02-30-34], 0.0382227, -0.100356, 5.82504
[Kamis_16-10-2025_02-30-34], -0.00645772, -0.0938987, 5.96571
[Kamis_16-10-2025_02-30-35], 0.00541052, -0.0774926, 5.82399
[Kamis_16-10-2025_02-30-35], 0.0600393, -0.0905826, 5.68332
[Kamis_16-10-2025_02-30-36], 0.0644026, -0.113446, 5.7095
[Kamis_16-10-2025_02-30-37], 0.0349066, -0.0818559, 5.82731
[Kamis_16-10-2025_02-30-37], 0.0195477, -0.066497, 5.82399
[Kamis_16-10-2025_02-30-38], 0.0272271, -0.0764454, 5.765
[Kamis_16-10-2025_02-30-38], 0.0228638, -0.0895354, 5.73341
[Kamis_16-10-2025_02-30-39], 0.0185005, -0.133169, 5.65277
[Kamis_16-10-2025_02-30-39], 0.00331613, -0.139626, 5.62101
[Kamis_16-10-2025_02-30-40], 0.0185005, -0.165806, 5.59046
[Kamis_16-10-2025_02-30-40], 0.0305433, -0.14399, 5.5491
[Kamis_16-10-2025_02-30-41], 0.0294961, -0.14399, 5.53933
[Kamis_16-10-2025_02-30-41], 0.0294961, -0.14399, 5.53269
[Kamis_16-10-2025_02-30-42], 0.0294961, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-42], 0.0294961, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-43], 0.0294961, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-43], 0.0294961, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-44], 0.0294961, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-44], 0.0284489, -0.14399, 5.52833
[Kamis_16-10-2025_02-30-45], 0.0315905, -0.145037, 5.52938
[Kamis_16-10-2025_02-30-45], 0.0251327, -0.142942, 5.52833
