Time                        , Roll, Pitch, Yaw
[Rabu_15-10-2025_04-07-57], 0.0546288, -0.12322, 6.27777
[Rabu_15-10-2025_04-07-58], 0.166853, -0.113446, 6.26573
[Rabu_15-10-2025_04-07-58], 0.0938987, -0.0970403, 6.26905
[Rabu_15-10-2025_04-07-59], 0.0895354, -0.135263, 0.00331613
[Rabu_15-10-2025_04-07-59], 0.023911, -0.0883137, 0.0479966
[Rabu_15-10-2025_04-08-00], -0.0109956, -0.173486, 0.0534071
[Rabu_15-10-2025_04-08-00], 0.0654498, -0.0752237, 6.27882
[Rabu_15-10-2025_04-08-01], 0.0949459, -0.138579, 6.22
[Rabu_15-10-2025_04-08-01], 0.0818559, -0.17017, 6.27236
[Rabu_15-10-2025_04-08-02], 0.0371755, -0.141895, 0.0328122
[Rabu_15-10-2025_04-08-02], 0.00331613, -0.231256, 0.0207694
[Rabu_15-10-2025_04-08-03], 0.066497, -0.116763, 0
[Rabu_15-10-2025_04-08-03], 0.125489, -0.176802, 6.21442
[Rabu_15-10-2025_04-08-04], 0.0895354, -0.159349, 6.26242
[Rabu_15-10-2025_04-08-04], 0.0359538, -0.098262, 0.0251327
[Rabu_15-10-2025_04-08-05], -0.00645772, -0.191986, 0.0328122
[Rabu_15-10-2025_04-08-05], 0.055676, -0.124442, 6.25701
[Rabu_15-10-2025_04-08-06], 0.106989, -0.186576, 6.18824
[Rabu_15-10-2025_04-08-06], 0.103673, -0.171217, 6.23955
[Rabu_15-10-2025_04-08-07], 0.0446804, -0.140674, 0.00767945
[Rabu_15-10-2025_04-08-07], 0.0109956, -0.210487, 6.27341
[Rabu_15-10-2025_04-08-08], 0.0731293, -0.103673, 6.26573
[Rabu_15-10-2025_04-08-08], 0.115715, -0.176802, 6.1926
[Rabu_15-10-2025_04-08-09], 0.0621337, -0.1494, 6.25701
[Rabu_15-10-2025_04-08-09], 0.0195477, -0.11781, 0.0109956
[Rabu_15-10-2025_04-08-10], -0.0185005, -0.190939, 6.28109
[Rabu_15-10-2025_04-08-10], 0.0490438, -0.100356, 6.22437
[Rabu_15-10-2025_04-08-11], 0.092677, -0.189892, 6.12611
[Rabu_15-10-2025_04-08-11], 0.0829031, -0.173486, 6.18719
[Rabu_15-10-2025_04-08-12], 0.0228638, -0.112399, 6.2406
[Rabu_15-10-2025_04-08-12], -0.00436332, -0.229162, 6.22751
[Rabu_15-10-2025_04-08-13], 0.0764454, -0.128805, 6.20028
[Rabu_15-10-2025_04-08-13], 0.101404, -0.178896, 6.14897
[Rabu_15-10-2025_04-08-14], 0.0872665, -0.154985, 6.21006
[Rabu_15-10-2025_04-08-14], 0.0261799, -0.12322, 6.26905
[Rabu_15-10-2025_04-08-15], 0.00209439, -0.231256, 6.27551
[Rabu_15-10-2025_04-08-15], 0.0621337, -0.0938987, 6.22
[Rabu_15-10-2025_04-08-16], 0.105767, -0.187623, 6.13274
[Rabu_15-10-2025_04-08-16], 0.0959931, -0.15708, 6.18614
[Rabu_15-10-2025_04-08-17], 0.0459022, -0.092677, 6.2221
[Rabu_15-10-2025_04-08-17], 0.0010472, -0.185529, 6.22
[Rabu_15-10-2025_04-08-18], 0.0459022, -0.112399, 6.17637
[Rabu_15-10-2025_04-08-18], 0.098262, -0.212756, 6.10534
[Rabu_15-10-2025_04-08-19], 0.0741765, -0.168075, 6.15665
[Rabu_15-10-2025_04-08-19], 0.00331613, -0.171217, 6.21337
[Rabu_15-10-2025_04-08-20], -0.00436332, -0.194255, 6.15892
[Rabu_15-10-2025_04-08-20], 0.0382227, -0.112399, 6.13588
[Rabu_15-10-2025_04-08-21], 0.114494, -0.229162, 6.08788
[Rabu_15-10-2025_04-08-21], 0.0698132, -0.168075, 6.14146
[Rabu_15-10-2025_04-08-22], 0.00331613, -0.164759, 6.18614
[Rabu_15-10-2025_04-08-22], 0.0164061, -0.185529, 6.13274
[Rabu_15-10-2025_04-08-23], 0.0392699, -0.114494, 6.10219
[Rabu_15-10-2025_04-08-23], 0.108036, -0.243299, 6.04111
[Rabu_15-10-2025_04-08-24], 0.0731293, -0.195302, 6.08143
[Rabu_15-10-2025_04-08-24], 0.0970403, -0.15708, 6.10097
[Rabu_15-10-2025_04-08-25], 0.0633555, -0.151669, 6.09888
[Rabu_15-10-2025_04-08-25], 0.0577704, -0.151669, 6.09888
[Rabu_15-10-2025_04-08-26], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-26], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-27], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-27], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-28], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-28], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-29], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-29], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-30], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-30], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-31], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-31], 0.0589921, -0.150622, 6.09888
[Rabu_15-10-2025_04-08-32], 0.0589921, -0.150622, 6.09888
