Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-24-22], 0.0315905, -0.0349066, 6.21878
[Jumat_17-10-2025_00-24-23], 0.0328122, -0.105767, 6.2221
[Jumat_17-10-2025_00-24-23], 0.0338594, -0.105767, 6.2221
[Jumat_17-10-2025_00-24-24], 0.0338594, -0.105767, 6.2221
[Jumat_17-10-2025_00-24-25], 0.0315905, -0.115715, 6.22315
[Jumat_17-10-2025_00-24-25], 0.0294961, -0.116763, 6.2221
[Jumat_17-10-2025_00-24-26], 0.0315905, -0.11781, 6.2221
[Jumat_17-10-2025_00-24-26], 0.0305433, -0.122173, 6.22105
[Jumat_17-10-2025_00-24-27], 0.0315905, -0.118857, 6.22315
[Jumat_17-10-2025_00-24-27], 0.0315905, -0.118857, 6.2221
[Jumat_17-10-2025_00-24-28], 0.0315905, -0.114494, 6.2221
[Jumat_17-10-2025_00-24-28], 0.0328122, -0.092677, 6.22105
