Time                        , Roll, Pitch, Yaw
[Kamis_16-10-2025_02-30-09], -0.258746, 10.2297, -44.9997
[Kamis_16-10-2025_02-30-10], -1.31816, 14.8826, -44.9924
[Kamis_16-10-2025_02-30-10], -8.06019, 15.6608, -44.7154
[Kamis_16-10-2025_02-30-11], -1.21456, 3.73951, -44.9936
[Kamis_16-10-2025_02-30-11], -1.9035, 6.96851, -44.9842
[Kamis_16-10-2025_02-30-12], -0.0709444, 12.4635, -45
[Kamis_16-10-2025_02-30-12], -3.26638, 14.2648, -44.9534
[Kamis_16-10-2025_02-30-13], -4.11761, 16.583, -44.9259
[Kamis_16-10-2025_02-30-13], -3.53883, 20.0598, -44.9452
[Kamis_16-10-2025_02-30-14], -1.95302, 19.9117, -44.9833
[Kamis_16-10-2025_02-30-14], -4.70219, 18.6332, -44.9033
[Kamis_16-10-2025_02-30-15], 0.655864, 16.1863, -44.9981
[Kamis_16-10-2025_02-30-15], -0.926662, 21.1879, -44.9962
[Kamis_16-10-2025_02-30-16], 2.87218, -0.944909, -44.964
[Kamis_16-10-2025_02-30-16], 5.28549, 25.8409, -44.8776
[Kamis_16-10-2025_02-30-17], -4.88134, 6.42904, -44.8959
[Kamis_16-10-2025_02-30-17], 7.76708, 15.1942, -44.7358
[Kamis_16-10-2025_02-30-18], 4.61475, 25.6065, -44.9068
[Kamis_16-10-2025_02-30-18], -6.51341, 3.48774, -44.8145
[Kamis_16-10-2025_02-30-19], 4.16472, 22.6929, -44.9241
[Kamis_16-10-2025_02-30-19], 2.58582, 12.3691, -44.9708
[Kamis_16-10-2025_02-30-20], -6.64442, 18.3789, -44.8067
[Kamis_16-10-2025_02-30-20], 4.80523, 20.5249, -44.899
[Kamis_16-10-2025_02-30-21], 5.00381, -4.12525, -44.8906
[Kamis_16-10-2025_02-30-21], -6.04795, 7.24643, -44.8401
[Kamis_16-10-2025_02-30-22], -3.12432, 10.5455, -44.9574
[Kamis_16-10-2025_02-30-22], -0.0621469, 17.0178, -45
[Kamis_16-10-2025_02-30-23], -3.55557, 20.6786, -44.9447
[Kamis_16-10-2025_02-30-23], -5.82185, 22.4383, -44.8516
[Kamis_16-10-2025_02-30-24], -1.8837, 19.2971, -44.9845
[Kamis_16-10-2025_02-30-24], 0.982669, 22.544, -44.9958
[Kamis_16-10-2025_02-30-25], -1.41675, 7.15885, -44.9912
[Kamis_16-10-2025_02-30-26], -2.0753, 10.1976, -44.9812
[Kamis_16-10-2025_02-30-26], -1.02835, 10.0672, -44.9954
[Kamis_16-10-2025_02-30-27], -2.24457, 10.6041, -44.978
[Kamis_16-10-2025_02-30-27], 3.5057, 10.1471, -44.9463
[Kamis_16-10-2025_02-30-28], -0.90512, 5.55893, -44.9964
[Kamis_16-10-2025_02-30-28], -0.163216, 8.77075, -44.9999
[Kamis_16-10-2025_02-30-29], -2.22594, 10.9685, -44.9784
[Kamis_16-10-2025_02-30-29], -4.06254, 15.2172, -44.9279
[Kamis_16-10-2025_02-30-30], 1.28079, 11.6877, -44.9928
[Kamis_16-10-2025_02-30-30], -5.99039, 8.63161, -44.8431
[Kamis_16-10-2025_02-30-31], 0.050082, 8.09062, -45
[Kamis_16-10-2025_02-30-31], -2.23517, 6.97313, -44.9782
[Kamis_16-10-2025_02-30-32], -1.62208, 15.2385, -44.9885
[Kamis_16-10-2025_02-30-32], 1.4823, 13.7911, -44.9904
[Kamis_16-10-2025_02-30-33], -4.3142, 8.22027, -44.9187
[Kamis_16-10-2025_02-30-33], -1.00372, 11.9035, -44.9956
[Kamis_16-10-2025_02-30-34], -3.19355, 12.5162, -44.9555
[Kamis_16-10-2025_02-30-34], -1.03586, 17.0594, -44.9953
[Kamis_16-10-2025_02-30-35], 3.68644, 12.5368, -44.9406
[Kamis_16-10-2025_02-30-35], -4.63328, 9.47658, -44.9062
[Kamis_16-10-2025_02-30-36], 0.187578, 11.6622, -44.9998
[Kamis_16-10-2025_02-30-36], -3.14158, 12.7494, -44.9569
[Kamis_16-10-2025_02-30-37], -1.41391, 16.3204, -44.9913
[Kamis_16-10-2025_02-30-37], -1.6384, 14.1124, -44.9883
[Kamis_16-10-2025_02-30-38], -1.19217, 13.6613, -44.9938
[Kamis_16-10-2025_02-30-38], -0.765744, 14.715, -44.9974
[Kamis_16-10-2025_02-30-39], -1.05269, 13.7519, -44.9952
[Kamis_16-10-2025_02-30-39], 0.730966, 15.8537, -44.9977
[Kamis_16-10-2025_02-30-40], -0.276824, 17.7381, -44.9997
[Kamis_16-10-2025_02-30-40], -1.79876, 14.0673, -44.9859
[Kamis_16-10-2025_02-30-41], -1.00027, 15.6505, -44.9956
[Kamis_16-10-2025_02-30-41], -1.0735, 15.1896, -44.995
[Kamis_16-10-2025_02-30-42], -1.04434, 15.2161, -44.9952
[Kamis_16-10-2025_02-30-42], -1.09102, 15.2605, -44.9948
[Kamis_16-10-2025_02-30-43], -0.840346, 15.3958, -44.9969
[Kamis_16-10-2025_02-30-43], -1.08505, 15.3233, -44.9949
[Kamis_16-10-2025_02-30-44], -1.12053, 15.3407, -44.9945
[Kamis_16-10-2025_02-30-44], -2.18873, 15.1174, -44.9791
[Kamis_16-10-2025_02-30-45], 0.263745, 13.2357, -44.9997
[Kamis_16-10-2025_02-30-45], -1.27955, 16.4012, -44.9928
