Time                        , Roll, Pitch, Yaw
[Rabu_15-10-2025_04-07-57], -1.93336, 9.56985, -44.9837
[Rabu_15-10-2025_04-07-57], -1.67673, 13.6423, -44.9877
[Rabu_15-10-2025_04-07-58], -19.6139, 18.161, -43.2866
[Rabu_15-10-2025_04-07-58], 2.55914, 3.42328, -44.9714
[Rabu_15-10-2025_04-07-59], 2.78742, 21.1548, -44.966
[Rabu_15-10-2025_04-07-59], -12.3332, 5.89548, -44.3311
[Rabu_15-10-2025_04-08-00], -5.91196, 20.4781, -44.847
[Rabu_15-10-2025_04-08-00], 7.84621, 11.7264, -44.7304
[Rabu_15-10-2025_04-08-01], 0.117743, 11.6572, -44.9999
[Rabu_15-10-2025_04-08-01], 0.192182, 23.9639, -44.9998
[Rabu_15-10-2025_04-08-02], -13.0831, 2.90637, -44.2466
[Rabu_15-10-2025_04-08-02], -7.84133, 21.6839, -44.7304
[Rabu_15-10-2025_04-08-03], 7.09044, 15.6398, -44.7799
[Rabu_15-10-2025_04-08-03], 0.728179, 8.73485, -44.9977
[Rabu_15-10-2025_04-08-04], 1.11333, 24.5728, -44.9946
[Rabu_15-10-2025_04-08-04], -12.2105, 3.32958, -44.3445
[Rabu_15-10-2025_04-08-05], -6.83036, 17.3446, -44.7958
[Rabu_15-10-2025_04-08-05], 9.17513, 15.5986, -44.6308
[Rabu_15-10-2025_04-08-06], 1.33934, 9.07218, -44.9922
[Rabu_15-10-2025_04-08-06], 0.421319, 19.3267, -44.9992
[Rabu_15-10-2025_04-08-07], -12.5705, 6.2868, -44.3049
[Rabu_15-10-2025_04-08-07], -7.08566, 19.5518, -44.7801
[Rabu_15-10-2025_04-08-08], 6.08229, 10.7523, -44.8382
[Rabu_15-10-2025_04-08-08], -1.06542, 13.3853, -44.995
[Rabu_15-10-2025_04-08-09], 2.37517, 20.8658, -44.9753
[Rabu_15-10-2025_04-08-09], -10.1421, -0.315519, -44.5488
[Rabu_15-10-2025_04-08-10], -4.83306, 22.81, -44.8978
[Rabu_15-10-2025_04-08-10], 9.51936, 3.32488, -44.6028
[Rabu_15-10-2025_04-08-11], -0.0742583, 15.4362, -45
[Rabu_15-10-2025_04-08-11], -0.818737, 24.238, -44.9971
[Rabu_15-10-2025_04-08-12], -10.2147, -1.29913, -44.5423
[Rabu_15-10-2025_04-08-12], -4.18814, 26.5174, -44.9232
[Rabu_15-10-2025_04-08-13], 6.05607, 10.0051, -44.8396
[Rabu_15-10-2025_04-08-13], 0.21263, 15.5383, -44.9998
[Rabu_15-10-2025_04-08-14], -11.6956, 19.517, -44.3982
[Rabu_15-10-2025_04-08-14], -10.0103, 7.6759, -44.5605
[Rabu_15-10-2025_04-08-15], -4.51515, 27.2666, -44.9107
[Rabu_15-10-2025_04-08-15], 7.82198, 2.79306, -44.7322
[Rabu_15-10-2025_04-08-16], 1.08462, 22.5291, -44.9949
[Rabu_15-10-2025_04-08-16], -9.71947, 19.1836, -44.5853
[Rabu_15-10-2025_04-08-17], -8.19021, 1.16973, -44.7063
[Rabu_15-10-2025_04-08-17], -4.56025, 25.3714, -44.909
[Rabu_15-10-2025_04-08-18], 9.9362, 3.84625, -44.567
[Rabu_15-10-2025_04-08-18], 1.37695, 19.6351, -44.9917
[Rabu_15-10-2025_04-08-19], -11.0185, 19.9957, -44.4663
[Rabu_15-10-2025_04-08-19], -7.91563, 5.89109, -44.7257
[Rabu_15-10-2025_04-08-20], -2.04674, 26.3453, -44.9817
[Rabu_15-10-2025_04-08-20], 10.4185, 8.84935, -44.5237
[Rabu_15-10-2025_04-08-21], 0.723995, 16.3617, -44.9977
[Rabu_15-10-2025_04-08-21], -3.13371, 23.4074, -44.957
[Rabu_15-10-2025_04-08-22], -8.71315, 4.60531, -44.6674
[Rabu_15-10-2025_04-08-22], -6.72291, 25.123, -44.8019
[Rabu_15-10-2025_04-08-23], 10.8727, 11.0236, -44.4809
[Rabu_15-10-2025_04-08-23], -0.693649, 19.5848, -44.9979
[Rabu_15-10-2025_04-08-24], -0.945298, 27.9006, -44.9961
[Rabu_15-10-2025_04-08-24], -7.90371, 14.7512, -44.7264
[Rabu_15-10-2025_04-08-25], -3.64614, 14.893, -44.9419
[Rabu_15-10-2025_04-08-25], -0.49041, 14.487, -44.9989
[Rabu_15-10-2025_04-08-26], -2.10037, 14.6237, -44.9807
[Rabu_15-10-2025_04-08-26], -1.78567, 14.4863, -44.9861
[Rabu_15-10-2025_04-08-27], -1.60316, 14.7251, -44.9888
[Rabu_15-10-2025_04-08-27], -1.76444, 14.3813, -44.9864
[Rabu_15-10-2025_04-08-28], -1.86901, 14.5791, -44.9847
[Rabu_15-10-2025_04-08-28], -1.76478, 14.5987, -44.9864
[Rabu_15-10-2025_04-08-29], -1.76638, 14.5808, -44.9864
[Rabu_15-10-2025_04-08-29], -1.78065, 14.5559, -44.9862
[Rabu_15-10-2025_04-08-30], -1.77083, 14.6025, -44.9863
[Rabu_15-10-2025_04-08-30], -1.7376, 14.5205, -44.9868
[Rabu_15-10-2025_04-08-31], -1.83576, 14.5557, -44.9853
[Rabu_15-10-2025_04-08-31], -1.74458, 14.5495, -44.9867
[Rabu_15-10-2025_04-08-32], -1.77722, 14.5312, -44.9862
[Rabu_15-10-2025_04-08-32], -1.78225, 14.6814, -44.9861
[Rabu_15-10-2025_04-08-33], -1.74303, 14.5625, -44.9867
[Rabu_15-10-2025_04-08-33], -1.7558, 14.5901, -44.9865
[Rabu_15-10-2025_04-08-34], -1.79521, 14.5164, -44.9859
[Rabu_15-10-2025_04-08-34], -1.7595, 14.5533, -44.9865
[Rabu_15-10-2025_04-08-35], -1.74807, 14.5535, -44.9867
[Rabu_15-10-2025_04-08-35], -1.7676, 14.5432, -44.9864
[Rabu_15-10-2025_04-08-36], -1.68473, 14.5423, -44.9876
[Rabu_15-10-2025_04-08-36], -1.82465, 14.619, -44.9855
[Rabu_15-10-2025_04-08-37], -1.79576, 14.5717, -44.9859
[Rabu_15-10-2025_04-08-38], -1.80491, 14.5933, -44.9858
[Rabu_15-10-2025_04-08-38], -1.69449, 14.5699, -44.9875
[Rabu_15-10-2025_04-08-39], -1.68836, 14.6272, -44.9876
[Rabu_15-10-2025_04-08-39], -1.87067, 14.4674, -44.9847
[Rabu_15-10-2025_04-08-40], -1.70074, 14.749, -44.9874
[Rabu_15-10-2025_04-08-40], -1.79269, 14.3897, -44.986
[Rabu_15-10-2025_04-08-41], -1.56031, 14.5994, -44.9894
[Rabu_15-10-2025_04-08-41], -2.91311, 15.0796, -44.9629
[Rabu_15-10-2025_04-08-42], -2.40648, 14.7065, -44.9747
[Rabu_15-10-2025_04-08-42], -2.01763, 14.6243, -44.9822
[Rabu_15-10-2025_04-08-43], 1.82598, 23.0391, -44.9854
[Rabu_15-10-2025_04-08-43], 1.77008, 22.6937, -44.9863
[Rabu_15-10-2025_04-08-44], 0.036165, 18.8639, -45
[Rabu_15-10-2025_04-08-44], 2.11535, 19.6647, -44.9804
[Rabu_15-10-2025_04-08-45], -6.06384, 23.0675, -44.839
[Rabu_15-10-2025_04-08-45], 2.53011, 18.2601, -44.972
[Rabu_15-10-2025_04-08-46], 0.376281, 21.9219, -44.9994
[Rabu_15-10-2025_04-08-46], -0.355323, 18.8799, -44.9994
[Rabu_15-10-2025_04-08-47], 1.5736, 20.1202, -44.9892
[Rabu_15-10-2025_04-08-47], -1.43686, 17.5731, -44.991
[Rabu_15-10-2025_04-08-48], -1.85869, 20.4884, -44.9849
[Rabu_15-10-2025_04-08-48], 1.11002, 20.6548, -44.9946
[Rabu_15-10-2025_04-08-49], -0.205147, 18.455, -44.9998
[Rabu_15-10-2025_04-08-49], -1.03306, 17.9256, -44.9953
[Rabu_15-10-2025_04-08-50], -1.50873, 18.6885, -44.9901
[Rabu_15-10-2025_04-08-50], -1.65374, 21.5475, -44.988
[Rabu_15-10-2025_04-08-51], -5.63647, 15.6464, -44.861
[Rabu_15-10-2025_04-08-51], 0.512038, 18.9258, -44.9989
[Rabu_15-10-2025_04-08-52], -1.27201, 17.7878, -44.9929
[Rabu_15-10-2025_04-08-52], -3.71538, 19.2616, -44.9397
[Rabu_15-10-2025_04-08-53], -4.13322, 21.1778, -44.9253
[Rabu_15-10-2025_04-08-53], -2.67893, 18.5572, -44.9686
