Time                        , Roll, Pitch, Yaw
[Jumat_17-10-2025_00-08-47], -1.4655, 9.51729, -44.9906
[Jumat_17-10-2025_00-08-47], -1.08539, 14.779, -44.9949
[Jumat_17-10-2025_00-08-48], -18.0019, 13.0823, -43.5619
[Jumat_17-10-2025_00-08-48], 5.5115, 12.273, -44.8672
[Jumat_17-10-2025_00-08-49], 4.87507, 15.7795, -44.8961
[Jumat_17-10-2025_00-08-49], -5.96796, 6.83427, -44.8443
[Jumat_17-10-2025_00-08-50], -7.68613, 16.4734, -44.7412
[Jumat_17-10-2025_00-08-50], 6.27016, 15.433, -44.828
[Jumat_17-10-2025_00-08-51], -1.19375, 10.1977, -44.9938
[Jumat_17-10-2025_00-08-51], 5.38712, 14.8838, -44.8731
[Jumat_17-10-2025_00-08-52], -11.0499, 12.6714, -44.4637
[Jumat_17-10-2025_00-08-52], -9.75821, 18.2194, -44.582
[Jumat_17-10-2025_00-08-53], -10.998, 17.7401, -44.4684
[Jumat_17-10-2025_00-08-53], 2.23425, 10.1605, -44.9782
[Jumat_17-10-2025_00-08-54], 6.58815, 16.5627, -44.81
[Jumat_17-10-2025_00-08-54], -13.513, 6.96304, -44.1957
[Jumat_17-10-2025_00-08-55], -7.99709, 16.8556, -44.7198
[Jumat_17-10-2025_00-08-55], -11.1591, 22.9873, -44.4522
[Jumat_17-10-2025_00-08-56], 1.29771, 4.56259, -44.9927
[Jumat_17-10-2025_00-08-56], 3.81594, 16.2673, -44.9364
[Jumat_17-10-2025_00-08-57], -8.12671, 9.70536, -44.7108
[Jumat_17-10-2025_00-08-57], -4.98193, 13.6396, -44.8915
[Jumat_17-10-2025_00-08-58], 7.07565, 17.2714, -44.7808
[Jumat_17-10-2025_00-08-58], -0.674596, 9.98016, -44.998
[Jumat_17-10-2025_00-08-59], 5.26616, 21.7412, -44.8786
[Jumat_17-10-2025_00-08-59], -9.60074, 2.46567, -44.5959
[Jumat_17-10-2025_00-09-00], -7.25528, 20.3895, -44.7694
[Jumat_17-10-2025_00-09-00], 0.984654, 10.6103, -44.9958
[Jumat_17-10-2025_00-09-01], -0.915044, 12.1162, -44.9963
[Jumat_17-10-2025_00-09-01], 5.48443, 21.6132, -44.8683
[Jumat_17-10-2025_00-09-02], -10.1261, 6.14422, -44.5502
[Jumat_17-10-2025_00-09-02], -8.44154, 15.7166, -44.6877
[Jumat_17-10-2025_00-09-03], 0.671589, 8.03942, -44.998
[Jumat_17-10-2025_00-09-03], 1.13701, 16.5746, -44.9944
[Jumat_17-10-2025_00-09-04], 7.71973, 24.8111, -44.7386
[Jumat_17-10-2025_00-09-04], 0.624293, 12.0565, -44.9983
[Jumat_17-10-2025_00-09-05], -2.16969, 15.0004, -44.9794
[Jumat_17-10-2025_00-09-05], -1.39919, 15.8464, -44.9915
[Jumat_17-10-2025_00-09-06], -1.8952, 16.1985, -44.9843
[Jumat_17-10-2025_00-09-07], -1.89224, 16.8673, -44.9844
[Jumat_17-10-2025_00-09-07], -1.91937, 16.7277, -44.9839
[Jumat_17-10-2025_00-09-08], -2.4315, 16.6696, -44.9742
[Jumat_17-10-2025_00-09-08], -1.54537, 14.4062, -44.9896
[Jumat_17-10-2025_00-09-09], -2.42417, 14.7684, -44.9743
[Jumat_17-10-2025_00-09-09], -2.46659, 17.2191, -44.9734
[Jumat_17-10-2025_00-15-55], -2.78667, 9.80442, -44.9661
